City,State,Percent with Heart Attack,High Blood Pressure,High Cholesterol,Diabetes,Depression,Obesity,Elevation
Oklahoma City,OK,4.2,31.8,23.1,12,20.4,32.3,1230
Tulsa,OK,4.5,34.9,24,13.7,20.9,32.8,740
Medford,OR,2.4,35.4,26.5,11.1,21.1,23.3,1383
Portland,OR,3,23.2,19.4,9.4,20.9,24.9,50
Hillsboro,OR,3,23.2,19.4,9.4,20.9,24.9,150
Salem,OR,3.4,26.2,18.7,9.7,20.4,29.3,154
Eugene,OR,3.4,30.6,22.5,10.8,22.7,28.8,419
Allentown,PA,3,32.1,24.8,11.5,17.2,26.2,350
Bethlehem,PA,3,32.1,24.8,11.5,17.2,26.2,360
Easton,PA,3,32.1,24.8,11.5,17.2,26.2,300
Lancaster,PA,3.4,30.4,25.9,13.3,20.6,30,368
Reading,PA,3.5,30.8,26.1,12,18.7,28.2,266
York,PA,4,28.5,30.1,12.8,18.4,32.7,400
Hanover,PA,4,28.5,30.1,12.8,18.4,32.7,614
Philadephia,PA,4,29.2,23.9,11.2,18.3,27.3,40
Harrisburg,PA,4,32.3,26.3,12.1,19.2,33.6,320
Carlisle,PA,4,32.3,26.3,12.1,19.2,33.6,480
Erie,PA,4,32.4,26.2,14.2,21.7,31.2,650
Pittsburgh,PA,4.9,30.7,25.7,11.4,17.4,28.1,770
Scranton,PA,5,36.2,26.8,12,18.5,29.1,754
Wilkes-Barre,PA,5,36.2,26.8,12,18.5,29.1,550
Hazleton,PA,5,36.2,26.8,12,18.5,29.1,1620
Providence,RI,5,32.9,28.6,9.6,20.9,30.5,115
Warwick,RI,5,32.9,28.6,9.6,20.9,30.5,64
Charleston,SC,2.7,29.7,24.9,11.5,15.6,26,118
North Charleston,SC,2.7,29.7,24.9,11.5,15.6,26,25
Columbia,SC,3.5,34.9,23.6,13.3,17.5,30.9,314
Greenville,SC,4.2,32.7,25.9,12.1,19.5,28.3,966
Anderson,SC,4.2,32.7,25.9,12.1,19.5,28.3,771
Mauldin,SC,4.2,32.7,25.9,12.1,19.5,28.3,942
Spartanburg,SC,4.3,38.1,28.3,14.1,22.9,32.7,816
Myrtle Beach,SC,5.7,33.7,29.6,13.4,20.1,28.5,30
Conway,SC,5.7,33.7,29.6,13.4,20.1,28.5,40
North Myrtle Beach,SC,5.7,33.7,29.6,13.4,20.1,28.5,8
Bristol,TN,6.8,40.8,32.4,15.1,22.9,31.9,1672
Chattanooga,TN,5.4,36.3,24.5,14.4,22.1,24.6,685
Clarksville,TN,4.2,35.8,26.1,14.4,15.4,29.8,493
Franklin,TN,3.8,29.5,25.2,11.7,18.8,26.2,643
Kingsport,TN,6.8,40.8,32.4,15.1,22.9,31.9,1208
Knoxville,TN,5.9,35.3,29.8,14.2,23.3,29.7,889
Memphis,TN,5,37.1,26.5,13.7,16.2,34.3,254
Murfreesboro,TN,3.8,29.5,25.2,11.7,18.8,26.2,619
Nashville,TN,3.8,29.5,25.2,11.7,18.8,26.2,597
Amarillo,TX,2.4,24.1,21.7,7.8,17,21.5,3605
Arlington,TX,3.4,27.8,25.1,11.2,16.4,28.9,604
Austin,TX,1.8,22.6,20.1,9.3,13.7,24.6,501
Beaumont,TX,2.9,36.5,24.8,15.8,17.4,38.2,16
Corpus Christi,TX,3.9,34,21.3,16.9,17.5,39.7,7
Dallas,TX,3.4,27.8,25.1,11.2,16.4,28.9,463
Edinburg,TX,2.3,26.4,20.3,15.7,15.6,40.2,96
El Paso,TX,4.6,26.9,18.6,13.2,17.7,26.6,3740
Fort Worth,TX,3.4,27.8,25.1,11.2,16.4,28.9,612
Houston,TX,3,26.9,22.7,11.2,14,28.6,80
Killeen,TX,5.1,27.3,21.7,10.8,21.7,33.9,890
McAllen,TX,2.3,26.4,20.3,15.7,15.6,40.2,121
Mission,TX,2.3,26.4,20.3,15.7,15.6,40.2,141
New Braunfels,TX,3.8,28.7,22.8,13,16.6,32.2,623
Port Arthur,TX,2.9,36.5,24.8,15.8,17.4,38.2,7
San Antonio,TX,3.8,28.7,22.8,13,16.6,32.2,650
Sugar Land,TX,3,26.9,22.7,11.2,14,28.6,100
Temple,TX,5.1,27.3,21.7,10.8,21.7,33.9,719
The Woodlands,TX,3,26.9,22.7,11.2,14,28.6,160
Clearfield,UT,3,23.7,20.3,8.6,21.3,28.1,4487
Ogden,UT,3,23.7,20.3,8.6,21.3,28.1,4299
